@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2}
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric

@data
77,'2016/09/18 14:56:06:849',1,39.941723,0.68346,-0.147182,-0.076936,-0.111658,0.087992,0.028717,0.192416,0.100144,0.137054,0.049847,0.147556,0.222717,0.249037,419.328522,1,?,?,?
78,'2016/09/18 14:56:06:930',1,40.102757,0.680759,-0.142956,-0.082656,-0.1041,0.086847,0.020385,0.188003,0.106557,0.143066,0.049415,0.146885,0.216364,0.255213,419.211151,1,?,?,?
79,'2016/09/18 14:56:07:012',1,40.148457,0.67891,-0.143757,-0.087952,-0.099824,0.084402,0.026432,0.184323,0.107698,0.140875,0.05387,0.146427,0.2115,0.258334,418.893311,1,?,?,?
80,'2016/09/18 14:56:07:093',1,40.529316,0.679949,-0.143581,-0.089936,-0.100532,0.077326,0.030926,0.183888,0.105339,0.150155,0.060963,0.141549,0.213048,0.25578,419.594238,1,?,?,?
81,'2016/09/18 14:56:07:174',1,40.475555,0.674994,-0.134916,-0.099082,-0.103017,0.081064,0.024722,0.176354,0.107023,0.1634,0.066451,0.133874,0.212771,0.254668,419.638123,1,?,?,?
82,'2016/09/18 14:56:07:255',1,40.021278,0.672958,-0.136356,-0.106043,-0.10485,0.075693,0.021543,0.164897,0.096678,0.166368,0.073904,0.125172,0.208431,0.255814,419.202606,1,?,?,?
83,'2016/09/18 14:56:07:337',1,39.641083,0.668098,-0.131986,-0.10428,-0.09702,0.071745,0.022711,0.165595,0.092215,0.170013,0.07607,0.120264,0.208026,0.253232,419.153748,1,?,?,?
84,'2016/09/18 14:56:07:418',1,39.551079,0.665668,-0.125363,-0.104829,-0.088465,0.065931,0.026902,0.158475,0.094776,0.179367,0.078007,0.112142,0.205241,0.255683,419.368958,1,?,?,?
85,'2016/09/18 14:56:07:500',1,39.293507,0.674108,-0.118422,-0.105115,-0.07984,0.06984,0.031637,0.155668,0.090899,0.180508,0.09153,0.104773,0.204032,0.261835,419.328583,1,?,?,?
86,'2016/09/18 14:56:07:569',1,39.089764,0.682696,-0.120576,-0.106131,-0.071576,0.072329,0.038202,0.145977,0.090255,0.183466,0.093186,0.09804,0.195023,0.267396,419.307739,1,?,?,?
